"","island","cover_type","Kfs","notes","sheet","source"
"93","Kauai","forests",438.0821,"Old","0dbeaee9-cfe9-42b1-ae6e-6a1b6c390f72","Fortini_2017"
"94","Kauai","forests",483.5169739,"Old","607aec93-8d92-4bfb-ba40-bf418ae50578","Fortini_2017"
"95","Kauai","forests",309.9293142,"Old","ba3cede2-73cc-4048-a0b3-ade71e53650f","Fortini_2017"
"96","Kauai","forests",788.9582061,"Old","377a7ea1-121e-49c4-82b5-17a086417e1d","Fortini_2017"
"97","Kauai","forests",1641.555446,"Old","dcca5a0e-9d3a-4ce8-9218-f8e13eca086d","Fortini_2017"
"98","Kauai","forests",1518.300616,"Old","da7f69fa-aa5b-46c6-b116-b62c8d3a142b","Fortini_2017"
"99","Kauai","forests",580.0446189,"Old","a63db555-3b4d-4c37-805b-e5ca90a94a22","Fortini_2017"
"100","Kauai","forests",445.7284705,"Old","329e2a86-73e5-4718-a6ef-b74a9e3a9ba0","Fortini_2017"
"101","Kauai","forests",827.005182,"Old","dd02f59b-469f-4250-83b1-e40054b49ae1","Fortini_2017"
"102","Kauai","forests",989.0178619,"Old","7337dccf-4172-4c4c-9046-1cf0010b9542","Fortini_2017"
"103","Kauai","forests",332.4880779,"Old","feff3cd5-3fc7-4469-9fbe-27b5ac805dd6","Fortini_2017"
"104","Kauai","forests",1025.196621,"Old","87298556-2bcb-4ef7-8404-d794af80ba06","Fortini_2017"
"105","Kauai","forests",1350.889703,"Old","8489b5e9-8434-4814-ae6c-d72827149bb5","Fortini_2017"
"106","Kauai","forests",23.95104888,"Old","5e3ac4f1-3ecd-49e6-95fa-07068e76c0bd","Fortini_2017"
"107","Kauai","forests",737.3281238,"Old","e1a02eaf-79f7-4d46-b50a-7a52419a9f90","Fortini_2017"
"108","Kauai","forests",2371.345309,"Old","e240557e-a5a7-4555-a4a2-4f456bfcba1f","Fortini_2017"
"109","Kauai","forests",5822.559365,"Old","3f25fe4c-07b4-4def-807d-6c204e083c1d","Fortini_2017"
"110","Kauai","forests",777.3257356,"Old","d42353e2-abd1-4805-a325-c142661dafdd","Fortini_2017"
"111","Kauai","forests",1321.160528,"Old","350d0bff-f101-4a8d-a3e8-4184341e7263","Fortini_2017"
"112","Kauai","forests",249.7739787,"Old","146bfb84-673e-45d2-a894-d48b3858ae2e","Fortini_2017"
"113","Kauai","forests",2906.570582,"Old","d10bdf74-2c72-4778-9e14-a30662e53329","Fortini_2017"
"114","Kauai","forests",1493.998241,"Old","3da3512d-5869-432b-b0e5-2a3b1e27790d","Fortini_2017"
"115","Kauai","forests",767.4172096,"Old","79143a97-b347-4e7d-975e-a3d228e3de86","Fortini_2017"
"116","Kauai","forests",714.5016454,"Old","a4890821-25c2-4193-8d84-4abf6063d3dc","Fortini_2017"
"117","Kauai","forests",506.5640392,"Old","caec5215-6996-4265-be03-b688b931ca01","Fortini_2017"
"118","Kauai","forests",1873.420855,"Old","74fa9a54-b388-4729-af3e-09c3a71efd11","Fortini_2017"
"119","Kauai","forests",318.5352736,"Old","7226bb7a-02a3-44e1-9015-2ca714d64133","Fortini_2017"
"120","Kauai","forests",471.6576649,"Old","d8f9efa7-4627-4ce0-85fb-eb534bebd2da","Fortini_2017"
"121","Kauai","forests",169.0432558,"Old","bb07e585-22ce-4c4a-b8f7-a9f80a381064","Fortini_2017"
"122","Kauai","forests",163.0003521,"Old","e29ab63c-f7c1-4a3b-936f-71172c17bc2e","Fortini_2017"
"123","Kauai","forests",220.8885165,"Old","72243a75-0ea5-4587-81e7-8e2041efd6cf","Fortini_2017"
"124","Kauai","forests",228.8687702,"Old","ecefcf85-72b6-4632-9784-e66b85cc6651","Fortini_2017"
"125","Kauai","forests",63.01890189,"Old","b0d4ba2b-be57-41f7-924e-d003966ca5a7","Fortini_2017"
"126","Kauai","forests",551.5691719,"Old","5f44937a-9228-406a-bc57-5fcef3295f47","Fortini_2017"
"127","Kauai","forests",401.2292076,"Old","e2141eee-3b0a-48b7-bf40-7baf8037ba25","Fortini_2017"
"128","Kauai","forests",451.5180685,"Old","683af49e-85df-48af-85a3-efadd840d0fb","Fortini_2017"
